ISO3 Code,MaxYear,ISO2 Code,Country,Continent,Region,LDC Flag,Year,Rule,Median Daily Income €,Median Daily Female Income €,Median Daily Male Income €,Population,% Female Population,Female Population,% Male Population,Male Population,% of Population under Poverty Line,% of Female Population under Poverty Line,% of Male Population under Poverty Line,Female Population under Poverty Line,Male Population under Poverty Line,MaxYear Flag
CAN,N/A,CA,Canada,Americas,Rest of the World,NO,2010,<= 50% Median Daily Income,46.37631908,,,34004889,,,,,16.55,0.00,0.00,,,0
CAN,N/A,CA,Canada,Americas,Rest of the World,NO,2012,<= 50% Median Daily Income,47.8402825719,,,34714222,,,,,16.99,0.00,0.00,,,0
CAN,N/A,CA,Canada,Americas,Rest of the World,NO,2013,<= 50% Median Daily Income,48.7122388662,,,35082954,,,,,16.97,0.00,0.00,,,0
CAN,N/A,CA,Canada,Americas,Rest of the World,NO,2014,<= 50% Median Daily Income,48.9621174497,,,35437435,,,,,16.53,0.00,0.00,,,0
CAN,N/A,CA,Canada,Americas,Rest of the World,NO,2015,<= 50% Median Daily Income,48.8472438363,,,35702908,,,,,16.88,0.00,0.00,,,0
CAN,N/A,CA,Canada,Americas,Rest of the World,NO,2016,<= 50% Median Daily Income,48.999916875,,,36109487,,,,,16.44,0.00,0.00,,,0
CAN,2017,CA,Canada,Americas,Rest of the World,NO,2017,<= 50% Median Daily Income,50.4342370805,,,36545295,,,,,16.77,0.00,0.00,,,1
CAF,N/A,CF,Central African Republic,Africa,Rest of the World,YES,2008,<= 1.9565€ Median Daily Income,,,,4467233,,,,,61.90,0.00,0.00,,,0
CAF,2021,CF,Central African Republic,Africa,Rest of the World,YES,2021,<= 3.3215€ Median Daily Income,,,,5457154,,,,,49.40,0.00,0.00,,,1
TCD,N/A,TD,Chad,Africa,Rest of the World,YES,2003,<= 1.9565€ Median Daily Income,,,,9196366,,,,,57.80,0.00,0.00,,,0
TCD,N/A,TD,Chad,Africa,Rest of the World,YES,2011,<= 1.9565€ Median Daily Income,,,,12317730,,,,,36.60,0.00,0.00,,,0
TCD,2018,TD,Chad,Africa,Rest of the World,YES,2018,<= 3.3215€ Median Daily Income,,,,15604210,,,,,25.30,0.00,0.00,,,1
CHL,N/A,CL,Chile,Americas,Rest of the World,NO,2000,<= 50% Median Daily Income,7.42414811684,,,15342350,,,,,19.56,0.00,0.00,,,0
CHL,N/A,CL,Chile,Americas,Rest of the World,NO,2003,<= 50% Median Daily Income,7.56422497558,,,15849649,,,,,19.65,0.00,0.00,,,0
CHL,N/A,CL,Chile,Americas,Rest of the World,NO,2006,<= 50% Median Daily Income,9.07882229436,,,16354507,,,,,18.04,0.00,0.00,,,0
CHL,N/A,CL,Chile,Americas,Rest of the World,NO,2009,<= 50% Median Daily Income,9.7538760137,,,16886184,,,,,17.51,0.00,0.00,,,0
CHL,N/A,CL,Chile,Americas,Rest of the World,NO,2011,<= 50% Median Daily Income,10.5874336113,,,17233584,,,,,17.44,0.00,0.00,,,0
CHL,N/A,CL,Chile,Americas,Rest of the World,NO,2013,<= 50% Median Daily Income,12.8270505272,,,17571511,,,,,17.21,0.00,0.00,,,0
CHL,N/A,CL,Chile,Americas,Rest of the World,NO,2015,<= 50% Median Daily Income,13.8179856451,,,17969356,,,,,17.00,0.00,0.00,,,0
CHL,N/A,CL,Chile,Americas,Rest of the World,NO,2017,<= 50% Median Daily Income,15.3970444264,,,18470435,,,,,17.04,0.00,0.00,,,0
CHL,2020,CL,Chile,Americas,Rest of the World,NO,2020,<= 50% Median Daily Income,15.4815797591,,,19116209,,,,,17.22,0.00,0.00,,,1
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2000,<= 50% Median Daily Income,4.86787602756,,,39629965,,,,,23.81,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2001,<= 50% Median Daily Income,4.1741801192,,,40255956,,,,,24.23,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2002,<= 50% Median Daily Income,5.19062368461,,,40875363,,,,,23.90,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2003,<= 50% Median Daily Income,5.25574174853,,,41483872,,,,,23.35,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2004,<= 50% Median Daily Income,5.2684819824,,,42075953,,,,,23.16,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2005,<= 50% Median Daily Income,5.76536077572,,,42647731,,,,,23.24,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2008,<= 50% Median Daily Income,6.48081324345,,,44254972,,,,,24.79,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2009,<= 50% Median Daily Income,6.63888691466,,,44750054,,,,,24.21,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2010,<= 50% Median Daily Income,7.06109460784,,,45222699,,,,,24.00,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2011,<= 50% Median Daily Income,7.51609645969,,,45662747,,,,,23.73,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2012,<= 50% Median Daily Income,7.849166962,,,46075721,,,,,23.96,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2013,<= 50% Median Daily Income,8.27667903153,,,46495492,,,,,24.06,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2014,<= 50% Median Daily Income,8.66597454359,,,46967706,,,,,23.89,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2015,<= 50% Median Daily Income,8.7824043944,,,47520667,,,,,23.58,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2016,<= 50% Median Daily Income,8.75636655803,,,48175048,,,,,23.39,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2017,<= 50% Median Daily Income,8.8152133251,,,48909844,,,,,23.14,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2018,<= 50% Median Daily Income,8.84071160245,,,49661056,,,,,23.35,0.00,0.00,,,0
COL,N/A,CO,Colombia,Americas,Rest of the World,NO,2019,<= 50% Median Daily Income,8.74935990201,,,50339443,,,,,23.68,0.00,0.00,,,0
COL,2020,CO,Colombia,Americas,Rest of the World,NO,2020,<= 50% Median Daily Income,7.09427788069,,,50882884,,,,,24.16,0.00,0.00,,,1
COM,N/A,KM,Comoros,Africa,Rest of the World,YES,2004,<= 1.9565€ Median Daily Income,,,,581154,,,,,14.60,0.00,0.00,,,0
COM,2014,KM,Comoros,Africa,Rest of the World,YES,2014,<= 1.9565€ Median Daily Income,,,,714612,,,,,18.60,0.00,0.00,,,1
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2000,<= 50% Median Daily Income,8.34809820026,,,3962369,,,,,23.01,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2001,<= 50% Median Daily Income,10.2681740525,,,4034074,,,,,23.57,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2002,<= 50% Median Daily Income,10.2760224385,,,4100922,,,,,23.43,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2003,<= 50% Median Daily Income,10.712988832,,,4164053,,,,,23.48,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2004,<= 50% Median Daily Income,10.1671001887,,,4225156,,,,,23.28,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2005,<= 50% Median Daily Income,10.6338437387,,,4285504,,,,,19.74,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2006,<= 50% Median Daily Income,10.6737893626,,,4345421,,,,,19.65,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2007,<= 50% Median Daily Income,11.7774128836,,,4404626,,,,,19.09,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2008,<= 50% Median Daily Income,12.010491584,,,4463123,,,,,19.27,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2009,<= 50% Median Daily Income,12.7518819337,,,4520739,,,,,23.17,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2010,<= 50% Median Daily Income,13.5165955288,,,4577371,,,,,19.02,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2011,<= 50% Median Daily Income,13.9459497541,,,4633086,,,,,23.29,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2012,<= 50% Median Daily Income,14.4215026865,,,4688003,,,,,19.91,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2013,<= 50% Median Daily Income,14.330129632,,,4742111,,,,,19.71,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2014,<= 50% Median Daily Income,14.4085360874,,,4795390,,,,,19.84,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2015,<= 50% Median Daily Income,14.3391526278,,,4847805,,,,,19.29,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2016,<= 50% Median Daily Income,14.9312592975,,,4899336,,,,,19.74,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2017,<= 50% Median Daily Income,15.0764692988,,,4949955,,,,,19.22,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2018,<= 50% Median Daily Income,15.1031211058,,,4999443,,,,,19.46,0.00,0.00,,,0
CRI,N/A,CR,Costa Rica,Americas,Rest of the World,NO,2019,<= 50% Median Daily Income,14.7708983968,,,5047561,,,,,19.53,0.00,0.00,,,0
CRI,2020,CR,Costa Rica,Americas,Rest of the World,NO,2020,<= 50% Median Daily Income,12.6637053543,,,5094114,,,,,23.38,0.00,0.00,,,1
HRV,N/A,HR,Croatia,Europe,EU27,NO,2009,<= 60% Median Daily Income,19.1588495917,,,4305181,0.51812870029115,2230637,0.48187129970885,2074543,24.29,0.00,0.00,0,0,0
HRV,N/A,HR,Croatia,Europe,EU27,NO,2010,<= 60% Median Daily Income,17.6828193542,15.290568901072,15.921107824828,4295427,0.51784225653387,2224353,0.48215774346613,2071073,24.02,17.32,18.04,385313.50183309,373555.86888059,0
HRV,N/A,HR,Croatia,Europe,EU27,NO,2011,<= 60% Median Daily Income,17.2624229596,14.63331222631,15.164995471341,4280622,0.51775735181849,2216323,0.48224264818151,2064298,24.39,17.32,17.95,383910.82273584,370569.21681889,0
HRV,N/A,HR,Croatia,Europe,EU27,NO,2012,<= 60% Median Daily Income,16.1541159507,14.168423358795,14.625296901008,4267558,0.51769955172891,2209312,0.48230044827109,2058245,24.21,17.56,18.13,387950.9346567,373078.29736448,0
HRV,N/A,HR,Croatia,Europe,EU27,NO,2013,<= 60% Median Daily Income,16.2432380747,13.310783551484,13.890558748327,4255689,0.51749989441924,2202318,0.48250010558076,2053370,24.71,16.65,17.38,366760.78415501,356850.3861841,0
HRV,N/A,HR,Croatia,Europe,EU27,NO,2014,<= 60% Median Daily Income,17.0995000085,13.545899760342,14.320714539533,4238389,0.51734396343231,2192704,0.48265603656769,2045684,24.19,16.01,16.92,350964.77121707,346161.60465662,0
HRV,N/A,HR,Croatia,Europe,EU27,NO,2015,<= 60% Median Daily Income,18.269036149,14.291325013426,14.817664708256,4203604,0.51737881853097,2174855,0.48262118146903,2028748,24.38,15.86,16.45,345005.65725468,333680.84850199,0
HRV,N/A,HR,Croatia,Europe,EU27,NO,2016,<= 60% Median Daily Income,19.7029662648,14.879115535571,15.656602089862,4174349,0.51730928880329,2159429,0.48269071119671,2014919,19.92,15.05,15.83,324921.39400521,319019.60183008,0
HRV,N/A,HR,Croatia,Europe,EU27,NO,2017,<= 60% Median Daily Income,20.8619645416,16.2123313108,17.0245509414,4124531,0.51730688821204,2133648,0.48269311178796,1990882,19.54,15.18,15.94,323970.48211125,317437.61264345,0
HRV,N/A,HR,Croatia,Europe,EU27,NO,2018,<= 60% Median Daily Income,22.1183382784,17.486768033814,18.229521511797,4087843,0.5172811158124,2114563,0.4827188841876,1973279,18.96,14.99,15.63,317039.73483947,308423.37254843,0
HRV,2019,HR,Croatia,Europe,EU27,NO,2019,<= 60% Median Daily Income,23.7700243235,19.244796050048,19.755105094274,4065253,0.51608121786565,2098000,0.48391878213435,1967252,18.61,15.07,15.47,316167.0181906,304324.63266623,1
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2004,<= 60% Median Daily Income,34.6577601825,,,1010410,0.50952353944498,514827,0.49047646055502,495582,18.18,0.00,0.00,0,0,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2005,<= 60% Median Daily Income,36.7049011602,34.805214236286,35.622777417088,1027657,0.5098388005462,523939,0.4901611994538,503717,18.14,17.20,17.61,90132.012167384,88688.725499794,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2006,<= 60% Median Daily Income,39.8664363279,37.989970156272,39.788074799016,1045508,0.50997899230255,533187,0.49002100769745,512320,18.10,17.25,18.07,91979.648613715,92563.011901879,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2007,<= 60% Median Daily Income,40.085969196,42.203359490012,43.523216389737,1063708,0.50982166889207,542301,0.49017833110793,521406,18.34,19.31,19.91,104720.88547236,103834.7888672,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2008,<= 60% Median Daily Income,39.5109989547,41.885418253033,43.985433482151,1081568,0.50992937309119,551523,0.49007062690881,530044,18.40,19.50,26.65,107565.52212315,141243.58308501,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2009,<= 60% Median Daily Income,38.6009508521,42.761760486049,45.054143522415,1098089,0.51071486830713,560810,0.48928513169287,537278,18.02,19.97,27.63,111981.55323996,148468.79707704,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2010,<= 60% Median Daily Income,39.4007261011,42.31824581934,43.7797067994,1112617,0.51216519764631,569843,0.48783480235369,542773,17.78,19.10,19.76,108828.46831884,107238.49898969,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2011,<= 60% Median Daily Income,38.4466140513,44.298031168928,46.08812048637,1124837,0.51323904347836,577310,0.48676095652164,547526,17.74,26.88,27.96,155169.73462361,153111.30473726,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2012,<= 60% Median Daily Income,35.5616976533,44.089632711077,46.280488293617,1135046,0.51393543701879,583340,0.48606456298121,551705,18.19,28.97,35.95,169014.0682057,198351.24150147,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2013,<= 60% Median Daily Income,32.640042162,41.244192228875,43.445734911818,1143866,0.51374674030291,587657,0.48625325969709,556208,18.18,35.15,37.02,206536.07148838,205917.6508626,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2014,<= 60% Median Daily Income,31.6959444165,37.90180157795,39.328529481702,1152297,0.51335897435897,591542,0.48664102564103,560754,18.78,28.83,29.92,170570.2177356,167779.09720105,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2015,<= 60% Median Daily Income,33.0265385905,36.384233320776,37.370118332919,1160987,0.51378853564547,596501,0.48621146435453,564485,18.56,26.40,27.12,157481.5444605,153067.20084528,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2016,<= 60% Median Daily Income,34.3594031963,37.014772244532,38.313254943452,1170189,0.51351791012579,600913,0.48648208987421,569275,18.36,19.78,26.24,118845.12707951,149384.34436654,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2017,<= 60% Median Daily Income,36.068811233,37.885770927346,39.595706991768,1179685,0.51256197341607,604661,0.48743802658393,575023,18.32,19.24,25.51,116365.23544947,146698.62905376,0
CYP,N/A,CY,Cyprus,Europe,EU27,NO,2018,<= 60% Median Daily Income,37.6578863843,40.608309754918,41.343047907599,1189262,0.51227673922401,609231,0.48772326077599,580030,18.01,19.42,19.77,118288.49298488,114656.46269161,0
CYP,2019,CY,Cyprus,Europe,EU27,NO,2019,<= 60% Median Daily Income,39.3150273334,43.133137225041,43.688866445978,1198574,0.51155213101054,613133,0.48844786898946,585440,18.14,19.90,26.27,122023.4690802,153775.93757253,1
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2002,<= 60% Median Daily Income,20.1950847917,,,10196916,0.51324150475896,5233480,0.48675849524104,4963435,17.61,0.00,0.00,0,0,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2004,<= 60% Median Daily Income,21.5603823981,,,10197101,0.51280304633084,5229104,0.48719695366916,4967996,17.46,0.00,0.00,0,0,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2005,<= 60% Median Daily Income,22.3015758784,11.087866667735,11.566114410753,10211216,0.51262607420147,5234535,0.48737392579853,4976680,17.44,5.51,5.75,288597.41508425,286215.75389443,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2006,<= 60% Median Daily Income,23.4461438029,12.541312322494,13.09169799323,10238905,0.51194655256179,5241772,0.48805344743821,4997132,17.16,5.79,6.04,303530.79589668,302063.63919246,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2007,<= 60% Median Daily Income,24.5989014635,14.173766908997,14.79629050745,10298828,0.51136325847092,5266442,0.48863674152908,5032385,16.60,5.92,6.18,311892.87322003,311121.17329769,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2008,<= 60% Median Daily Income,25.1122408719,15.742098893084,16.605082250596,10384603,0.51030548690752,5299319,0.48969451309248,5085283,16.39,6.34,6.69,336208.94071844,340316.27320412,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2009,<= 60% Median Daily Income,25.6445796971,19.007008066089,19.979534202729,10443936,0.50922841958249,5318349,0.49077158041751,5125586,16.66,7.66,8.05,407396.36613535,412719.93120192,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2010,<= 60% Median Daily Income,25.6556756456,18.435248194548,19.290216226759,10474410,0.50906874421244,5332194,0.49093125578756,5142215,16.83,7.71,8.07,411252.52333692,414993.19141999,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2011,<= 60% Median Daily Income,25.9026610934,19.434492082194,20.423048869438,10496088,0.50916725145329,5344264,0.49083274854671,5151823,17.03,8.17,8.59,436741.9393074,442430.75617724,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2012,<= 60% Median Daily Income,25.4074462642,20.254727038097,21.438323407689,10510785,0.5089965251353,5349953,0.4910034748647,5160831,17.02,8.42,8.91,450487.80267581,459956.89216257,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2013,<= 60% Median Daily Income,25.4273119737,20.019610829239,21.187176548227,10514272,0.50891140985867,5350832,0.49108859014133,5163439,16.93,8.46,8.95,452753.90639323,462378.24889687,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2014,<= 60% Median Daily Income,25.918765145,19.82189947179,20.87457886145,10525347,0.50892558601403,5356618,0.49107441398597,5168728,16.56,7.88,8.30,422241.85171376,429068.59946202,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2015,<= 60% Median Daily Income,27.0912094635,19.244796050048,20.380300467828,10546059,0.50875005634224,5365308,0.49124994365776,5180750,16.69,7.30,7.73,391713.06493136,400556.05779802,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2016,<= 60% Median Daily Income,27.8995670954,20.369613367425,21.668096066346,10566332,0.50858374527648,5373864,0.49141625472352,5192467,9.99,7.29,7.76,391822.78687449,402730.69326459,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2017,<= 60% Median Daily Income,28.8190593236,21.657408965943,22.774210958018,10594438,0.50838685221981,5386072,0.49161314778019,5208365,9.84,7.39,7.77,398090.10997206,404806.50896307,0
CZE,N/A,CZ,Czechia,Europe,EU27,NO,2018,<= 60% Median Daily Income,30.0237453516,23.516964436002,25.093311745391,10629928,0.50803355873273,5400360,0.49196644126727,5229567,9.79,7.67,8.18,414126.17491638,427909.98475367,0
CZE,2019,CZ,Czechia,Europe,EU27,NO,2019,<= 60% Median Daily Income,31.4540854628,25.830721673172,27.554016613098,10671870,0.50757817048207,5416808,0.49242182951793,5255061,9.84,8.08,8.62,437642.24139859,452899.59160344,1
COD,N/A,CD,Congo (DRC),Africa,Rest of the World,YES,2004,<= 1.9565€ Median Daily Income,,,,54815607,,,,,91.50,0.00,0.00,,,0
COD,2012,CD,Congo (DRC),Africa,Rest of the World,YES,2012,<= 1.9565€ Median Daily Income,,,,70997870,,,,,69.90,0.00,0.00,,,1
DNK,N/A,DK,Denmark,Europe,EU27,NO,2000,<= 60% Median Daily Income,43.318702154,,,5339616,0.505795100206,2700751,0.494204899794,2638864,9.88,0.00,0.00,0,0,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2003,<= 60% Median Daily Income,41.8234660571,54.47749430244,57.373698511554,5390574,0.50544821433315,2724656,0.49455178566685,2665917,17.00,29.24,36.73,796750.64365185,979111.39367221,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2004,<= 60% Median Daily Income,42.8890834281,55.37253896116,57.889351105981,5404523,0.50531435960901,2730983,0.49468564039099,2673539,16.76,28.82,36.18,787156.25397796,967258.60861331,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2005,<= 60% Median Daily Income,43.0201299073,57.51797436699,60.411506801004,5419432,0.50525011526581,2738168,0.49474988473419,2681263,16.71,29.44,37.23,806019.01626522,998125.529176,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2006,<= 60% Median Daily Income,43.8432382661,58.995465997654,61.832891154554,5437272,0.50513748698977,2746569,0.49486251301023,2690702,16.76,29.73,37.40,816583.50245532,1006395.1037121,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2007,<= 60% Median Daily Income,44.5533954957,61.079450576168,63.954280584478,5461438,0.50493475040958,2757669,0.49506524959042,2703768,16.55,36.57,38.29,1008465.8485942,1035292.2865814,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2008,<= 60% Median Daily Income,44.8063974176,62.94969314663,66.185212793528,5493621,0.50460746219131,2772122,0.49539253780869,2721498,16.57,37.48,39.40,1038896.0142784,1072346.434632,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2009,<= 60% Median Daily Income,45.3742751371,65.58673517098,68.506985356001,5523095,0.50430113594406,2785303,0.49569886405594,2737791,17.10,38.65,45.31,1076627.006094,1240365.9855046,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2010,<= 60% Median Daily Income,46.8272902916,66.994760649028,70.120737516799,5547683,0.5043512448105,2797980,0.4956487551895,2749702,17.25,38.04,39.81,1064313.5143823,1094753.2316668,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2011,<= 60% Median Daily Income,45.7307531408,70.69249738834,73.28679101108,5570572,0.50426786327012,2809060,0.49573213672988,2761511,17.04,46.38,48.08,1302801.1593485,1327749.90672,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2012,<= 60% Median Daily Income,45.2809667128,71.277616135384,74.141759043291,5591572,0.50420785461416,2819314,0.49579214538584,2772257,16.96,47.23,49.13,1331629.4509279,1362018.9552161,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2013,<= 60% Median Daily Income,46.0616064363,72.095179316186,74.78832861765,5614932,0.50400918997299,2829977,0.49599081002701,2784954,17.09,46.97,48.73,1329286.1439149,1357004.2236266,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2014,<= 60% Median Daily Income,46.421323221,73.203965982959,75.747495878787,5643475,0.50379200442135,2843137,0.49620799557865,2800337,16.82,47.32,48.96,1345371.0680859,1371160.4096103,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2015,<= 60% Median Daily Income,46.5302323304,74.157789693895,77.612394899047,5683483,0.50332940792955,2860664,0.49667059207045,2822818,16.63,47.80,53.96,1367281.2303625,1523220.6014772,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2016,<= 60% Median Daily Income,47.8769521412,74.652068087517,78.96431309998,5728010,0.50275763235225,2879800,0.49724236764775,2848209,16.99,46.79,49.49,1347405.4172801,1409603.0621956,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2017,<= 60% Median Daily Income,48.5471272832,78.149421694279,78.96164132488,5764980,0.50247122470915,2896736,0.49752877529085,2868243,17.19,48.29,48.79,1398878.9140818,1399514.9695578,0
DNK,N/A,DK,Denmark,Europe,EU27,NO,2018,<= 60% Median Daily Income,49.6042690507,79.113932505617,81.737615654465,5793636,0.5024427496761,2910970,0.4975572503239,2882665,17.10,47.86,49.44,1393073.6008018,1425277.7326177,0
DNK,2019,DK,Denmark,Europe,EU27,NO,2019,<= 60% Median Daily Income,49.2128903175,81.131122706615,83.225794385532,5814422,0.5024056674373,2921198,0.4975943325627,2893223,16.70,49.44,54.51,1444212.4274643,1577117.4169168,1
DJI,N/A,DJ,Djibouti,Africa,Rest of the World,YES,2002,<= 1.9565€ Median Daily Income,,,,789129,,,,,22.50,0.00,0.00,,,0
DJI,N/A,DJ,Djibouti,Africa,Rest of the World,YES,2012,<= 1.9565€ Median Daily Income,,,,954297,,,,,19.70,0.00,0.00,,,0
DJI,N/A,DJ,Djibouti,Africa,Rest of the World,YES,2013,<= 1.9565€ Median Daily Income,,,,971753,,,,,24.90,0.00,0.00,,,0
DJI,2017,DJ,Djibouti,Africa,Rest of the World,YES,2017,<= 3.3215€ Median Daily Income,,,,1040233,,,,,16.50,0.00,0.00,,,1
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2000,<= 50% Median Daily Income,7.70541460871,,,8471317,,,,,23.61,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2001,<= 50% Median Daily Income,7.61957502124,,,8598599,,,,,23.30,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2002,<= 50% Median Daily Income,7.56583393384,,,8724974,,,,,23.35,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2003,<= 50% Median Daily Income,6.31045794561,,,8850317,,,,,23.27,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2004,<= 50% Median Daily Income,5.3549667899,,,8974444,,,,,23.05,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2005,<= 50% Median Daily Income,6.44978530105,,,9097262,,,,,23.11,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2006,<= 50% Median Daily Income,7.03936017512,,,9218681,,,,,23.30,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2007,<= 50% Median Daily Income,6.92054819001,,,9338856,,,,,19.65,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2008,<= 50% Median Daily Income,6.72335880944,,,9458079,,,,,19.55,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2009,<= 50% Median Daily Income,7.16269701147,,,9576736,,,,,19.58,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2010,<= 50% Median Daily Income,7.30725070803,,,9695117,,,,,19.68,0.00,0.00,,,0
DOM,N/A,DO,Dominican Republic,Americas,Rest of the World,NO,2011,<= 50% Median Daily Income,7.41738489674,,,9813219,,,,,18.74,0.00,0.00,,,0
